Disk,Ring_id,Chamber,Issue
RE-4,R2C,C4,extr_issue
RE-4,R2B,C4,extr_issue
RE-4,R2A,C4,extr_issue
RE-4,R3C,C4,extr_issue
RE-4,R3B,C4,extr_issue
RE-4,R3A,C4,extr_issue
RE-3,R2C,C10,single_gap
RE-3,R2B,C10,single_gap
RE-3,R2A,C10,single_gap
RE-3,R3C,C15,single_gap
RE-3,R3B,C15,single_gap
RE-3,R3A,C15,single_gap
RE-3,R2C,C17,single_gap
RE-3,R2B,C17,single_gap
RE-3,R2A,C17,single_gap
RE-1,R3C,C2,single_gap
RE-1,R3B,C2,single_gap
RE-1,R3A,C2,single_gap
RE-1,R2C,C11,single_gap
RE-1,R2B,C11,single_gap
RE-1,R2A,C11,single_gap
RE-1,R3C,C17,single_gap
RE-1,R3B,C17,single_gap
RE-1,R3A,C17,single_gap
RE-1,R2C,C20,single_gap
RE-1,R2B,C20,single_gap
RE-1,R2A,C20,single_gap
RE-1,R2C,C31,single_gap
RE-1,R2B,C31,single_gap
RE-1,R2A,C31,single_gap
RE+1,R2C,C11,single_gap
RE+1,R2B,C11,single_gap
RE+1,R2A,C11,single_gap
RE+1,R2C,C14,single_gap
RE+1,R2B,C14,single_gap
RE+1,R2A,C14,single_gap
RE+1,R2C,C32,single_gap
RE+1,R2B,C32,single_gap
RE+1,R2A,C32,single_gap
RE+2,R3C,C15,single_gap
RE+2,R3B,C15,single_gap
RE+2,R3A,C15,single_gap
RE+2,R2C,C23,single_gap
RE+2,R2B,C23,single_gap
RE+2,R2A,C23,single_gap
RE+2,R2C,C25,single_gap
RE+2,R2B,C25,single_gap
RE+2,R2A,C25,single_gap
RE+3,R3C,C15,single_gap
RE+3,R3B,C15,single_gap
RE+3,R3A,C15,single_gap
RE+3,R3C,C31,single_gap
RE+3,R3B,C31,single_gap
RE+3,R3A,C31,single_gap
RE+3,R3C,C29,single_gap
RE+3,R3B,C29,single_gap
RE+3,R3A,C29,single_gap
RE+4,R2C,C26,single_gap
RE+4,R2B,C26,single_gap
RE+4,R2A,C26,single_gap
RE+1,R3A,C15,lv
RE+1,R3B,C15,lv
RE+1,R3C,C15,lv
RE+1,R2A,C35,lv
RE+1,R2B,C35,lv
RE+1,R2C,C35,lv
